text_a	text_b	label
腰突俩把野生艾草轻松搞定，3天去根不复发，腰腿疼也管用	腰间盘突出危害大！一把艾草帮你忙，颈椎病也有效果！	agreed
男人这样吃鸡蛋，金枪不倒半小时，吃三天就见效！	男人吃大蒜强精健身？	unrelated
无核葡萄用避孕药，吃了会绝育？！	棉花肉松是谣言，但有不含肉的假肉松	unrelated
农村人注意了，这30个省农村户口要取消了	农村人注意了，这30个省农村户口要取消，不知道你家乡有吗？	agreed
小米Note系列新机曝光，骁龙835+5.99寸全面屏2.0	诺基亚新旗舰曝光，骁龙835+6GB媲美小米6吗？	unrelated
央视公布17种“巨毒食品”？实为恶意篡改编造和旧闻翻炒	燕窝中含有激素？你被这个谣言骗了吧！	unrelated
农村四项费用全面取消，别不知道白交了	现在在农村这几项费用交了等于白交，国家都取消了	agreed
5月1日起全国公交成失联儿童守护点？真假？	5月1日起，全国公交正式成为中国失联儿童安全守护点！	agreed
一家三口吃“黑美人”西瓜死亡	辟谣联盟“亮剑” 谣言止于智者	unrelated
史上最难找的方子，为了家人留着吧，家家都有需要！	最难找的民间偏方，药到病除！为家人留着吧~	agreed
开塞露可以洗脸美白？学会使用一瓶开塞露，脸就可快速变白	开塞露洗脸新用式，适合各种肤质，几天就变白，脸上光光滑滑	agreed
腰间盘突出的朋友请注意，中医大师研究最新验方，对付腰凸有妙招	颈椎病这次碰到对手了，农村地边的地里艾草，对腰间盘突出有妙招	unrelated
科学家发现：一味中药48小时杀死98%癌细胞 发一次救人无数	一味中药48小时杀死98%癌细胞，几分真几分假？	unrelated
一亿两千万第一次一亿两千万第二次，一亿两千万第三次成交	男子自称云南省公安厅副厅长相亲？警方澄清：系17岁务工少年	unrelated
曹艳两岁女儿在济宁大润发被拐？谣言！	曹艳2岁女儿在大润发附近被拐？这个谣言竟跑遍全国了	unrelated
何洁又被赫子铭算计？净身出户，网友直呼：赫子铭放过何洁吧！	赫子铭不想净身出户，录音遭翻译，暗指何洁脾气大，还曾出轨过！	unrelated
传滴滴收购ofo谈判重启 六月将宣布消息	【摩拜回应与ofo合并传言：不考虑合并，	unrelated
生姜能生发吗？	育儿漫画丨新生宝宝皮肤黄=肝病？这些都是谣言，别信！	unrelated
人体器官的排毒时间表，收藏备用！	辟谣│排毒膏能排毒？太阳得从西边出！	unrelated
曹艳两岁女儿在济宁大润发被拐？谣言！	青岛公安：黄岛“卖小鸟玩具的人拐孩子”系谣言	unrelated
万达正式宣告退出房地产，马云却进入了房屋租赁	王健林宣布万达退出房产！网友：难道房地产要崩盘？	agreed
缺课太多遭留级曝关晓彤明年疑似要和王俊凯成为同学，太尴尬	学霸关晓彤因接戏谈恋爱耽误学习，旷课一年，将留级与王俊凯同班	agreed
扼制糖尿病的“天然法宝” 如今血糖稳定在6以下 还能润肠祛燥	猛料啊！刘嘉玲已怀孕两个月，梁朝伟应该乐开花了吧	unrelated
你家吃的油是地沟油吗？只需一片大蒜即可看出油的好坏，赶紧试试	如何辨别地沟油？只要一颗大蒜，3秒能看出油的好坏！	agreed
微波炉加热食物致癌？营养流失？毁脑子？	本周谣言盘点：微波烹调会将营养素损失殆尽	unrelated
以案说法之 案例二 某地出现四个假和尚入室偷肾	辟谣丨兰州来了四个和尚偷肾？这样的谣言何时休？！	unrelated
娱乐圈十大最爱国的明星：姚明拒绝代言，最后一位霸气又给力	姚明拒代言丰田让我们骄傲，同时表示女儿18岁后自己担当	unrelated
大蒜最新吃法，和它一起泡，连续吃3天，千年人参都不如	它是糖尿病的死对头，每天吃一点，血糖慢慢降下来身体更健康	unrelated
红皮萝卜什么时候种植？这种蔬菜能降血压治痛风	糖尿病患者最应该吃的2类蔬菜，控血糖促排尿降血压，美味常见！	unrelated
2018京东白条秒提现方法 花呗套现最安全	花呗套现方法流程是什么 京东白条最新提现方法	unrelated
激素草莓会致孩子性早熟？听听专家怎么说	大草莓不等于用膨大剂 草莓上市季这些谣言不可信	unrelated
刘强东回应京东入主延边	法国生态部长回应性骚扰传闻：谣言“很伤人”	unrelated
网友爆李亚鹏新女友是富商千金，网友：李亚鹏的女友一个赛一个！	李亚鹏新女友是豪门之女身价数亿，谢霆锋回应醋意满满！	agreed
聊城的新老司机都应该了解，2018年C1驾驶证最新规定	不系安全带罚1分50元？盘点关于交通违法的那些谣言	unrelated
曹大鹏提出离婚，没想到刘涛这么霸气回复曹大鹏	她长相酷似刘涛，是陈思诚前女友，离婚后的她活出了真正的自己！	unrelated
塑料大米的加工流程	塑料大米的由来	agreed
燃油车停售时间出炉，以后可能不会看到了	辟谣丨北京新能源汽车未停售，上牌近期恢复	unrelated
古力娜扎新恋情被曝光与张翰分手是因恋上吴亦凡？	网曝古力娜扎分手后恋上吴亦凡？工作室辟谣：纯属编造	unrelated
下半年，农村危房改造补贴发放，户均2万元，符合的农民早点去领	辟谣！贵州农村危房改造每户55000元？各地政策不同	unrelated
什么茶的降血压效果最好？几朵绿萝花泡水喝 能帮助降血糖	什么茶的降血压效果最好？每天来杯西藏野生绿萝花 能帮助降血糖	agreed
花样男子：李敏镐带金丝草，飞机上表白，比张翰郑爽的热气球好看	郑爽“表白”张翰视频曝光，郑爽一句话太不“矜持”了	unrelated
网传“女子跳楼未遂看热闹小伙坠楼”，原来男子忧郁抑郁症	“看别人跳楼的小伙坠楼”系谣言 警方：死者患抑郁症	unrelated
双色球头奖号码出号规律提前剧透！要中奖还要看这些胆码！	双色球头奖号码真有规律？把握住这些形态可能中头奖！	agreed
世纪大复合始无定论 林志玲、言承旭被爆真正婚期！	林志玲言承旭又传婚讯,不久忙辟谣,网友:再不结婚我都要结婚了	disagreed
帅小伙吧灯泡放嘴里拿不出来！看美女大夫怎么拿出的？	灯泡吃到嘴里拿的出来吗？除非你有姚晨的大嘴	unrelated
刮肠油暴瘦！减掉啤酒肚大肚腩！	中医瘦身法宝，荷叶加它一起泡水喝，一天一杯，抚平大肚腩	unrelated
纳斯达克将成为数字货币交易所；游戏公司育碧进军区块链	晚报：80家加密货币公司被发传票！酷我辟谣ICO传闻	unrelated
人造假鸡蛋、皮皮虾注胶，这些事儿你都知道吗？	全是谣言：“顶花带刺”不能吃？弯黄瓜不能吃？那还能吃什么？	unrelated
管长个的穴位竟在脚下，睡前按20下就能让孩子不断长高！	晚上失眠睡不着觉？睡觉前按摩这几个穴位，每晚都能安心睡眠	unrelated
潘玮柏与空姐秘恋曝光！两人同晒216万名牌皮箱！	潘玮柏秘恋空姐，两人疑似已同居？吴昕怎么办？	unrelated
强生研制艾滋疫苗引发狂欢！艾滋病到底是怎么回事儿？	“肉毒杆菌”谣言又双叒叕来了！	unrelated
外星人之谜：罗斯维尔外星飞碟坠毁事件	美国政府封锁的UFO谣言（三）：石头打飞碟，外星人尸体	unrelated
汽车尾气比空气干净10倍,机动车对雾霾的贡献并没有那么大	血压高降不下来？常吃这些天然“降压药”，稳定血压清血降脂	unrelated
李小璐出轨真相大反转？她八字还原事实，矛头直指贾乃亮太绝情！	李小璐出轨剧情反转，贾乃亮回应：我对不起李小璐	agreed
白头发染黑长新发后更显眼？教你1招土方法不去染发，自然变黑发	头发染黑长新发白的更明显？传授1招土方法不用染发，自然变黑发	agreed
夏天用这个自制的驱蚊液，蚊子都不敢进屋了，安心度过夏天！	夏天蚊子越来越多，教你自制驱蚊液，天然无毒，家家户户都需要	agreed
花呗套现方法流程是什么 京东白条最新提现方法	支付宝花呗怎么套现 京东白条提现有哪些套现方法	agreed
方舟子说喝普洱茶致癌，吃转基因长寿，对吗？	勿信谣言丨“8月9日3时左右还会有强余震”是假的！	unrelated
独生子女家庭注意，父母有4种补贴可以领取，不要忘记领了！	网传退休人员可领独生子女计划生育奖励？官方辟谣：没这政策	unrelated
王凤雅离世，只因自己是个女孩，其母是否该负刑事责任？	水滴筹转发次数不够无法提现，纯属谣言	unrelated
大清铜币即将在收藏界叱咤风云！一枚价格破百万！	这枚大清铜币存世量不足十枚，原光美品成交价格近百万	unrelated
意媒：北京国安准备5000万欧报价纳因戈兰	迪马济奥辟谣恒大报价罗马中场：双方并未接触	unrelated
别再观望了，最过几个小时，这些降价的手机都涨价了，错过等明年	业内可靠消息，明年国产手机将全面涨价	unrelated
歼20刚服役，西方媒体报道中国六代机，将用人工智能和高超音速	中国首款六代机公开？外媒一致表态：当初小看它了，性能超歼20	unrelated
坐月子必须要穿长衣长裤吗	坐月子的时候产妇一定要穿长衣长裤吗	agreed
胡歌与前女友复合，紧跟薛之谦步伐？	胡歌喊话前女友：若是你复出圈内我们就复合 你们怎么看？	unrelated
新车磨合，你还在拉高速？！	教你怎么拉高速'新车为什么要拉高速	unrelated
情况通报辟谣	西安警方抓获四川地震谣言散布嫌疑人	unrelated
华为手机进货价曝光，看看你买的手机多花了多少钱？	华为裁掉35岁以上的员工，谣言？若是真实你怎么养家？	unrelated
微信更新超重磅功能，让你不花钱就可以上网，一定要打开！	原来微信隐藏了一个wifi功能，开启就能免费上网，不懂真亏	agreed
国产车发动机质量全球排名是多少？第一名却不是德系合资车！	看看这张发动机质量排名：我国在第几？核心部件发展任重道远！	unrelated
红枣千万不要这样吃，等于慢性自杀，千万要注意！	猪肉盖有印章什么意思？不知道的快看，买错了就等于吃毒药！	unrelated
胡歌版《斗破苍穹》第十集：萧炎帮师傅药尘斩杀韩枫，清理门户！	胡歌版《斗破苍穹》最后一集：萧炎，萧薰儿有情人终成眷属！	unrelated
支付宝微信支付最好关掉这个功能，不然银行卡都被搬空	紧急通知！微信支付宝这两个功能赶紧关闭	agreed
开窗通风不是除甲醛最好用的方法，它们几个才是甲醛真正的天敌	柚子皮能除甲醛？辟谣！其实甲醛最怕这几个“天敌”！	unrelated
再见了陆地夫妇，鹿晗公布恋情后，热巴和陈伟霆疑似也好事将近？	鹿晗关晓彤恋情曝光，老婆哭的嗷嗷叫，拉都拉不住，我该怎么办？	unrelated
替人驾驶证销分新规：一个驾驶证只能替3台车销分，违者严重处罚	辟谣！交通新规10月15日开始实施，扣分罚款大升级？假的！	unrelated
特效美白新方法，三天就能白回来！	特效美白新方法，三天肌肤就像婴儿一样！	agreed
监视器拍下奇怪影像 竟看到一个疑似“鬼影”的东西跟在人后面	狗狗街头，叼着东西走来走去，市民奇怪，跟过去一看感动流泪	unrelated
支付宝又一项功能将被关闭，网友：凭什么！	支付宝官方辟谣: 6月30日起, 银行卡代扣关闭为假消息!	unrelated
农村的村干部应该有哪些人来当？看看国家出台的新规	杨洋曝光恋情，女主是她，多少少女哭晕在厕所	unrelated
每天吃几粒它，胜过5个苹果，排毒抗癌防衰老，吃过的都说好！	你听过车前草吗？它可以防衰老，抗癌症，还可以美容，功效很多呢	unrelated
宅基地免税？收费？90%的农民都在寻找答案！	明年起，农村这三种宅基地也要“收费”？农民早知道早做准备！	unrelated
简单说说我怀男宝的孕期症状，有接必中噢	男宝出生7天，这些怀儿子症状可以参考	agreed
2018年农村60岁以上老人的养老金还会涨吗？	谣言｜养老保险缴了15年就不用再缴？医保中断三个月会清零？	unrelated
继马蓉撬门事件后，又被爆出手撕范冰冰！网友：直接起诉马蓉	马蓉撕逼范冰冰被封号后，怒发范冰冰黑历史称内容真实不怕起诉	unrelated
大蒜加它一起吃，防血栓，延缓衰老，一生不得癌症！	女人多吃这5种粗粮，美容养颜更年轻，比护肤品还管用！	unrelated
淘宝首页广告被指性别歧视 吃“碱孕宝”生男孩纯属谣言	淘宝广告被指性别歧视 吃“碱孕宝”生男孩属谣言	unrelated
中国女孩赴韩整容，因为容貌和护照上的照片不一样，被拒绝出境	整容小分队被扣机场！原因：认不出！	agreed
关于开车用车的七个谣言，你一定听过！	挡位越多越省油只是噱头？真相其实是这样的！	unrelated
网传关之琳脑癌病复发 患病已20年一直药物控制	饱受疾病折磨的明星们:关之琳患脑瘤20年	agreed
自制果树杀虫剂，无毒无害，让虫子全部死光	自制果蔬杀虫剂，可杀死各种的虫子无毒无害	agreed
女生吃槟榔会导致不孕吗，女生吃槟榔的好处和坏处	常吃这些食物会导致不孕	unrelated
基础养老金最新好消息：最低标准调整到每人每月88元	最新消息！上海将在4月份涨养老金！	unrelated
痰湿体质克星，减肥每天喝它，3天祛湿排毒，轻松瘦掉大肚子	每天喝1碗，美容排毒，不用节食也能瘦	unrelated
冬天一定要喝这碗汤，强壮身体补肾健脑提高记忆力，养颜还驱寒	记忆力差怎么办 多喝橙汁让你拥有超高记忆力	unrelated
景甜不屑回应背景传闻：我爸不是部长！她的背景不止那么简单！	【图】景甜回应背景说引关注 网友脑回路飞快均称“路转粉”	agreed
想生个漂亮宝宝？爸妈谁的基因决定孩子智商和相貌？	18到45岁台男人生神分析！让男网友泪洒：我对不起爸妈	unrelated
男子想当网红爬火车被电伤，理由令人吃惊	网传济南男子情人节开房兴奋过度猝死，酒店回应：造谣	unrelated
美国试验活体外星人	女外星人 美国终于公布了活着的外星人的视频	agreed
男人千万别吃惯这五种食物，越吃越衰，更加严重的会丧失本能	潘玮柏帽子暴露他真爱吴昕！两人疑是假戏真做正式交往！	unrelated
苏联曾抓获外星人婴儿，腿上长蹼类似水生动物	神奇四侠与军方合力抓获裸身外星人！	unrelated
大咖头条 出轨大戏再次上演！杨幂婚姻遇危机 刘恺威出轨	谣言粉碎机｜跑步瘦身，但是粗腿？	unrelated
朱之文于文华台上唱歌，又搂又抱可气的台下他老婆翻脸，痛哭流泪	于文华去朱之文老家，给他唱了一首肉麻情歌，朱之文老婆当场翻脸	agreed
李天一获超快减刑提前6年出狱，梦鸽满面春光	北京市监狱管理局辟谣：李天一仍在监狱服刑，并未减刑或假释	disagreed
任达华出狱 得知弟弟出事	黑老大任达华出狱，立马带一群小弟，找郑伊健麻烦	unrelated
莆田秀屿区东庄镇7岁女孩走失	家乐福，再见？！接盘的是“企鹅君”	unrelated
做过亲子鉴定的男明星这么多，只有王宝强是例外！	王宝强儿子亲子鉴定出炉 最终印证了网友的猜测	unrelated
猪身上这几个部位千万别吃，不然给自己惹来一身的病！	猪身上这3个部位的肉，卖多便宜也别吃，小心给自己惹一身病！	agreed
4种食物最好不要跟猪肉同食，家里的煮妇看来看看！	山楂消食健胃又能散瘀血。但与这几种食物切记不能同食！	unrelated
30岁保养秘籍：净化血管，延缓衰老，一物搞定！	罗晋与神秘美女举止亲密，似坐实与唐嫣分手传闻！	unrelated
真实存在的芝麻开门!山壁横空出现一道门又自动关闭	国外记者山边采景时拍摄到大山开门 并瞬间关闭	unrelated
未来几年，国家将在农村普及3个项目，一大批农民或将因此富起来	今年起，农村户口取消，3大致富好机会，农民早点做准备	unrelated
和洋葱一起吃，血脂血栓全熔光，高血压的“克星”终于被发现	洋葱和它一块吃，血脂血栓全“熔光”，高血压终结者终于被发现啦	agreed
女生越吃越瘦的减肥食物，减肥女生必看	想减肥少吃点零食，三餐坚持吃这6种食物，想不瘦都难	agreed
农民注意：农村这几种车将会被“禁止”上路，被查出将收处	电动车要完蛋了，很多地方电动车禁止上路，请互相转发！	unrelated
地球日星巴克自带杯免费，然后就	星巴克自带杯免费，那画风太美，我不敢看！	agreed
冰淇淋越不化，添加剂越多？	冰淇淋越不化，添加剂越多	agreed
传说中的“中国龙”竟然真的存在?_	有人居然拍到神龙现身!真实录象	unrelated
浅谈胡可情史，不比范冰冰绯闻少	胡可被曝大学美过baby惹出不少事，黄晓明也曾与她交往过	unrelated
杨澜直接问杨振宁是否接受翁帆改嫁，杨振宁的回答果然是真男人	杨澜提问杨振宁是否允许翁帆改嫁？杨振宁的回答令人意外！	agreed
最近不能晒被子晒衣服？听说飞机来福安撒农药治白蛾？	辟谣：火爆全网的6条护肤神方法，这些都是假的假的假的	unrelated
方便面表示垃圾食品它不是我同类	方便面是垃圾食品吗？营养师是这样说的	unrelated
柏加学生抓龙虾溺亡	她就是泸县6个学生溺亡的谣言制造者！	unrelated
上班就瞌睡？春困来了，中医教你这三招，头脑清醒不犯困	曾经看不起刀郎的那英，首次公开向刀郎道歉，刀郎会原谅她吗？	unrelated
晒黑皮肤黑快速变白的方法——洗澡小窍门快速美白	皮肤美白小妙招 教你快速变身“白雪公主”	unrelated
农村厕所改造补贴最高达4千元，不知道的农民真的亏大了	农村厕所改造有补贴，你家能拿多少？不看亏大了！	agreed
若南宁成为下个直辖市，谁将会是广西新省会？不是桂林也不是玉林	假的！“东北牌照车辆柳州卖冰棍是拐卖儿童？”柳州网警已辟谣	unrelated
42岁变性韩星离婚后晒泳装照秀身材 让金星的露背装变得好尴尬	我懂官方辟谣，泳装照片并非最近大火的克罗地亚女总统	unrelated
水壶底沉积的水垢刮不干净？教你一招，三秒钟让水垢消失无踪	开水瓶底沉积的水垢很厚？教你一招，三秒钟让水垢消失无踪	agreed
朝鲜没有瘫痪关岛的能力	何亮亮：朝鲜全国网络瘫痪 对美网络战完败	unrelated
岑溪市人民医院有人跳楼身亡	「辟谣」网传《地震警示，山东》系谣言	unrelated
什么样的手机号能发财？（数字与命运）——连写第10篇	巧克力吃不黑皮肤，相反还能美白？	unrelated
男孩狂犬病发作学狗叫，只能在家养？症状与狂犬病不符！	“男子狂犬病发作将被执行安乐死”视频流传 警方辟谣	unrelated
张杰谢娜为什么老是被传闻怀孕，离婚？	张杰结婚纪念日宣布谢娜怀孕，不孕谣言被粉碎	unrelated
女性经期真的吃不胖吗？	经常这样做，吃再多也不会胖，肚子一圈圈瘦下来！	unrelated
王思聪放弃网红追腾讯千金，两人机场牵手相约吃饭？网友：我反对	王思聪疯狂追逐马化腾女儿”的谣言：恶意捏造，将追查到底	disagreed
汤泡饭好吗 不仅不好还伤胃	为什么汤泡饭会伤胃而粥养胃呢	agreed
啤酒洗头黑发？不可靠！芝麻加它，一内一外，最快2天白发变黑！	赵丽颖因伤决定暂退娱乐圈,而这个女人竟趁人之危	unrelated
林志玲言承旭又双叒叕被曝复合！这次还惊动了马来西亚的朋友	【正式辟谣！天猫双11不停售，吃瓜群众可	unrelated
男性补肾壮阳的食物，吃什么食物可以壮阳	辟谣：前列腺增生小便难，一定要补肾吗？你可能补错了	unrelated
减肥真的很简单，中医教授教你每天这样喝，刮油排毒，减掉大肚腩	减肥真的很简单，专家教你每天这样喝，刮油排毒，减掉大肚子	agreed
联想ZUK将回归？剑指小米7，将带来真正的全面屏手机！	联想手机要单挑小米！真全面屏发布	agreed
中国将申办2030世界杯？	今年中超取消升降级？足协正式辟谣：完全虚假！凭空捏造！	unrelated
怕怕~网传这些水果都不能吃？真相在这里！	杨梅吐气｜杨梅注胶？泡药水？这些谣言别再传了！	unrelated
洗头发加点它，白发很快自然变黑，再也不用去理发店染发了	洗头发时加点它，白发很快自然变黑发，这辈子都不用再染发了	agreed
经常吃木瓜，不仅能排毒养颜，还能促进头发生长	木瓜新吃法，非常爽口，木瓜还能提升人体免疫能力，促进肠胃消化	unrelated
肩周炎，腰腿疼，枸杞秘制吃法，对付多年腰间盘突出也是妙招	枸杞对于腰间盘突出好处多多，秘制做法，多年腰腿疼痛也管用	agreed
冰淇淋越不化，添加剂越多？	化了又冻的雪糕有毒？戳破这十大食品谣言	unrelated
网上说这样让宝宝吃，会伤害大脑	辟谣：浴霸不会让宝宝眼睛受到损伤？	unrelated
塑料大米生产过程，现在还有什么能吃了	“真相！塑料大米真的存在？”现在造谣都不走心么？	unrelated
实拍：火星上发现外星人躲在一块岩石后小心翼翼查看探测仪	火星竟然发现岩石房屋 那是外星人的家吗	unrelated
潘长江女儿潘阳被曝追悼会，现场照片流出震惊网友死因真相揭露	潘长江女儿潘阳被曝追悼会，现场照片流出震惊网友死因真相揭露！	agreed
今日开始支付宝关闭一项重要功能！以后转账都要咁样做！	熟人可篡改你的支付宝密码？别慌！系夸大描述	unrelated
网传“多人感染SK5病毒死亡”系旧谣新传	「网警辟谣」关于伊春市“撤区设县，撤乡设镇”的消息	unrelated
亚足联服软中国足协！中国球迷多次空场，黑哨裁判法加尼恐遭处罚	巧合还是无视中国球迷空场？亚足联刚宣布4名伊朗裁判参与亚联杯	unrelated
搞错了？卓伟疯了：杨幂不是迪丽热巴的老板而是师姐！胖迪有干爹	真糟心！狗仔卓伟又开始爆料了，矛头直指迪丽热巴，称其有干爹？	unrelated
历史上命最大的鸡，头被砍掉还活18个月，为此还专门给它立雕像	头被砍掉仍活了18个月！有史以来最顽强的生命！	agreed
微信新功能，不用下载软件，免费在线实时翻译各国语言，太好用了	教你一招，微信新功能可以免费看电视直播，赶紧来看下非常流畅	unrelated
满头白发？别去染了，拿它洗头，3天长出乌黑茂密的头发！	头发一天不洗就痒痒出油，洗头时扔掉它进去，不出3天乌黑顺滑	unrelated
咳嗽不用止咳药，只此一招就搞定	一个万能止咳方搞定所有咳嗽！	agreed
爱尔兰一个禁止离婚的国家	韩国小姐姐教你一招能减肚子的瑜伽，你学会了么？	unrelated
